shipment_id,vehicle_id,driver_id,driver_name,driver_rating,license_type,decision_reason
SHP000001,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000002,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000003,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000004,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000005,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000006,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000007,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000008,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000009,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000010,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000011,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000012,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000013,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000014,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000015,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000016,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000017,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000018,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000019,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000020,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000021,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000022,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000023,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000024,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000025,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000026,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000027,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000028,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000029,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000030,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000031,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000032,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000033,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000034,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000035,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000036,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000037,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000038,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000039,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000040,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000041,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000042,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000043,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000044,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000045,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000046,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000047,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000048,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000049,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000050,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000051,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000052,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000053,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000054,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000055,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000056,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000057,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000058,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000059,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000060,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000061,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000062,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000063,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000064,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000065,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000066,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000067,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000068,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000069,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000070,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000071,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
