shipment_id,order_id,priority,warehouse_code,vehicle_id,vehicle_type,driver_id,driver_name,estimated_delivery,eta_status,decision_status,business_explanation
SHP000001,ORD000001,Standard,CCU_RDC,VEH036,Medium Truck,DRV040,Rajesh Sharma,2025-01-15 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse CCU_RDC assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000002,ORD000002,Express,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-02-22 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000003,ORD000003,Standard,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-10-30 15:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000004,ORD000004,Standard,HYD_RDC,VEH029,Mini Truck,DRV029,Akash Yadav,2025-04-22 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse HYD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000005,ORD000005,Express,BLR_RDC,VEH023,Mini Truck,DRV024,Mohit Das,2025-10-17 15:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse BLR_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000006,ORD000006,Standard,MAA_RDC,VEH034,Mini Truck,DRV034,Dinesh Das,2025-08-05 15:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse MAA_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000007,ORD000007,Express,HYD_RDC,VEH029,Mini Truck,DRV029,Akash Yadav,2025-01-05 01:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse HYD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000008,ORD000008,Standard,BLR_RDC,VEH023,Mini Truck,DRV024,Mohit Das,2025-05-23 00:40,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse BLR_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000009,ORD000009,Standard,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-02-17 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000010,ORD000010,Standard,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-11-08 18:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000011,ORD000011,Standard,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-10-04 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000012,ORD000012,Standard,CCU_RDC,VEH036,Medium Truck,DRV040,Rajesh Sharma,2025-06-02 00:48,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse CCU_RDC assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000013,ORD000013,Standard,MUM_NH,VEH003,Medium Truck,DRV001,Rahul Yadav,2025-04-10 00:48,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse MUM_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000014,ORD000014,Standard,MUM_NH,VEH003,Medium Truck,DRV001,Rahul Yadav,2025-05-30 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse MUM_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000015,ORD000015,Express,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-05-24 00:40,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000016,ORD000016,Standard,MAA_RDC,VEH034,Mini Truck,DRV034,Dinesh Das,2025-07-09 07:30,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse MAA_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000017,ORD000017,Express,DEL_RDC,VEH014,Mini Truck,DRV014,Sachin Patel,2025-12-27 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse DEL_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000018,ORD000018,Standard,DEL_RDC,VEH014,Mini Truck,DRV014,Sachin Patel,2025-11-22 15:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse DEL_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000019,ORD000019,Standard,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-03-26 18:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000020,ORD000020,Standard,CCU_RDC,VEH036,Medium Truck,DRV040,Rajesh Sharma,2025-12-19 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse CCU_RDC assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000021,ORD000021,Standard,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-01-29 00:48,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000022,ORD000022,Standard,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-05-19 15:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000023,ORD000023,Standard,BLR_RDC,VEH023,Mini Truck,DRV024,Mohit Das,2025-04-20 07:30,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse BLR_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000024,ORD000024,Standard,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-03-17 15:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
